index,question,sql,data_services,pipeline,output,output_json
print(community_area_df.shape) - input_parameters: ['community_area_no:text', 'community_area_name:integer', 'side:text', 'population:text'] - output_values: ['Community_Area_df:pandas.DataFrame'] - module: CommunityArea - class_name: GetDataFromCommunityAreabrief_description: Data service that provides data in a dataframe format about FBI codes, their titles, descriptions, and the type of crime they are against. - detailed_description: Data service that provides data in a dataframe format about FBI codes, their titles, descriptions, and the type of crime they are against. Each data entry has the following attributes: fbi_code_no, title, description, crime_against. The attribute 'fbi_code_no' is unique for each FBI code entry. The 'title' provides a brief name for the type of crime, while 'description' gives a detailed explanation. The 'crime_against' attribute categorizes the crime as being against persons, property, or society. - usage_example: fbi_code_no = ('01A', 'EQUAL')
title = ('Homicide', 'EQUAL')
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'FBICode').
# Please keep the same capitalization as the value in the module field (in this case 'FBICode')
fbi_code_service = GetDataFromFBICode()
fbi_code_service.open_connection()
fbi_code_df = fbi_code_service.call(fbi_code_no=fbi_code_no, title=title)
# assuming the result is a pandas dataframe
print(fbi_code_df.shape) - input_parameters: ['fbi_code_no:text', 'title:text', 'description:text', 'crime_against:text'] - output_values: ['FBI_Code_df:pandas.DataFrame'] - module: FBICode - class_name: GetDataFromFBICodebrief_description: Data service that provides crime data from Chicago, including details about the crime location, type, and related identifiers. - detailed_description: Data service that provides crime data from Chicago in a dataframe format. Each data entry has the following attributes: report_no, case_number, date, block, iucr_no, location_description, arrest, domestic, beat, district_no, ward_no, community_area_no, fbi_code_no, latitude, longitude. The attribute 'report_no' is unique for each crime report. The attributes 'fbi_code_no', 'community_area_no', 'district_no', 'iucr_no', and 'ward_no' are foreign keys to the FBI_Code, Community_Area, District, IUCR, and Ward tables respectively. The 'date' attribute is stored as text and may need parsing for date operations. The 'arrest' and 'domestic' attributes are stored as text and represent boolean values ('TRUE' or 'FALSE'). - usage_example: - If I want to obtain all the information about crimes that occurred in district number 17, I can write:

district_no = ('17', 'EQUAL')
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'crime').
# Please keep the same capitalization as the value in the module field (in this case lowercase)
crimes = GetDataFromcrime()
crimes.open_connection()
crime_df = crimes.call(district_no=district_no)
# assuming the result is a pandas dataframe
print(crime_df.shape) - input_parameters: ['report_no:integer', 'case_number:integer', 'date:text', 'block:text', 'iucr_no:text', 'location_description:text', 'arrest:text', 'domestic:text', 'beat:text', 'district_no:integer', 'ward_no:integer', 'community_area_no:integer', 'fbi_code_no:integer', 'latitude:text', 'longitude:text'] - output_values: ['Crime_df:pandas.DataFrame'] - module: Crime - class_name: GetDataFromCrimebrief_description: Data service that provides data in a dataframe format about neighborhoods and their associated community areas in Chicago. - detailed_description: Data service that provides data in a dataframe format about neighborhoods and their associated community areas in Chicago. Each data entry has the following attributes: neighborhood_name, community_area_no. The attribute 'neighborhood_name' is unique for each neighborhood. The attribute 'community_area_no' is a foreign key to the Community_Area table, which contains additional information about the community area such as community_area_name, side, and population. - usage_example: - If I want to obtain all the information from the neighborhood named 'Albany Park', I can write:
neighborhood_name = ('Albany Park', 'EQUAL')
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'neighborhood').
neighborhoods = GetDataFromneighborhood()
neighborhoods.open_connection()
neighborhood_df = neighborhoods.call(neighborhood_name=neighborhood_name)
# assuming the result is a pandas dataframe
print(neighborhood_df.shape) - input_parameters: ['neighborhood_name:text', 'community_area_no:text'] - output_values: ['Neighborhood_df:pandas.DataFrame'] - module: Neighborhood - class_name: GetDataFromNeighborhoodbrief_description: Data service that provides data in a dataframe format about Chicago wards and their aldermen. - detailed_description: Data service that provides data in a dataframe format about Chicago wards and their aldermen. Each data entry has the following attributes: ward_no, alderman_first_name, alderman_last_name, alderman_name_suffix, ward_office_address, ward_office_zip, ward_email, ward_office_phone, ward_office_fax, city_hall_office_room, city_hall_office_phone, city_hall_office_fax, Population. The attribute 'ward_no' is unique for each ward. The attributes 'alderman_first_name', 'alderman_last_name', and 'alderman_name_suffix' provide the full name of the alderman. The 'ward_office_address', 'ward_office_zip', 'ward_email', 'ward_office_phone', and 'ward_office_fax' provide contact information for the ward office. The 'city_hall_office_room', 'city_hall_office_phone', and 'city_hall_office_fax' provide contact information for the city hall office. The 'Population' attribute indicates the population of the ward. - usage_example: - If I want to obtain all the information from the ward with ward_no 1 I can write:
wardno = ('1', ""EQUAL"")
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'ward').
# Please keep the same capitalization as the value in the module field (in this case lowercase)
wards = GetDataFromward()
wards.open_connection()
ward_df = wards.call(ward_no=wardno)
# assuming the result is a pandas dataframe
print(ward_df.shape) - input_parameters: ['ward_no:integer', 'alderman_first_name:integer', 'alderman_last_name:text', 'alderman_name_suffix:text', 'ward_office_address:text', 'ward_office_zip:text', 'ward_email:text', 'ward_office_phone:text', 'ward_office_fax:text', 'city_hall_office_room:text', 'city_hall_office_phone:integer', 'city_hall_office_fax:text', 'Population:text'] - output_values: ['Ward_df:pandas.DataFrame'] - module: Ward - class_name: GetDataFromWardbrief_description: Data service that provides data in a dataframe format about police districts in Chicago, including their contact information and commanders. - detailed_description: Data service that provides data in a dataframe format about police districts in Chicago. Each data entry has the following attributes: district_no, district_name, address, zip_code, commander, email, phone, fax, tty, twitter. The attribute 'district_no' is unique for each district. The attribute 'district_name' is an integer representing the district's name. The attributes 'address', 'zip_code', 'email', 'phone', 'fax', 'tty', and 'twitter' are text fields containing the respective contact information for each district. The attribute 'commander' is an integer representing the commander's ID. This table does not have any foreign keys. - usage_example: - If I want to obtain all the information from the district with district_no '1' I can write:
district_no = ('1', 'EQUAL')
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'district').
districts = GetDataFromdistrict()
districts.open_connection()
district_df = districts.call(district_no=district_no)
# assuming the result is a pandas dataframe
print(district_df.shape) - input_parameters: ['district_no:text', 'district_name:integer', 'address:text', 'zip_code:text', 'commander:integer', 'email:text', 'phone:text', 'fax:text', 'tty:text', 'twitter:text'] - output_values: ['District_df:pandas.DataFrame'] - module: District - class_name: GetDataFromDistrict","from data_services.ward import GetDataFromWard

def pipeline_function():
    # Initialize the Ward data service
    ward_service = GetDataFromWard()
    ward_service.open_connection()
    
    # Retrieve all ward data
    ward_df = ward_service.call()
    
    # Filter the dataframe for aldermen with the first name ""James""
    james_aldermen_df = ward_df[ward_df['alderman_first_name'] == 'James']
    
    # Count the number of aldermen with the first name ""James""
    james_count = len(james_aldermen_df)
    
    # Return the result as a list of dictionaries
    return [{""count"": james_count}]","+----+---------+
|    |   count |
|----+---------|
|  0 |       2 |
+----+---------+",[{'count': 2}]
9,Please list the case numbers of all the crimes with no arrest made in Central Chicago.,SELECT COUNT(*) FROM Crime AS T1 INNER JOIN District AS T2 ON T1.district_no = T2.district_no WHERE T2.district_name = 'Central' AND T1.arrest = 'FALSE',"brief_description: Data service that provides data in a dataframe format about IUCR codes and their descriptions. - detailed_description: Data service that provides data in a dataframe format about IUCR codes and their descriptions. Each data entry has the following attributes: iucr_no, primary_description, secondary_description, and index_code. The attribute 'iucr_no' is unique for each IUCR code. The 'primary_description' and 'secondary_description' provide detailed information about the type of crime. The 'index_code' is a classification code for the crime. - usage_example:  - If I want to obtain all the information for the IUCR code 110, I can write: iucr_no = ('110', 'EQUAL') # The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'IUCR'). # Please keep the same capitalization as the value in the module field (in this case uppercase) iucr_service = GetDataFromIUCR() iucr_service.open_connection() iucr_df = iucr_service.call(iucr_no=iucr_no) # assuming the result is a pandas dataframe print(iucr_df.shape) - input_parameters: ['iucr_no:text', 'primary_description:text', 'secondary_description:text', 'index_code:text'] - output_values: ['IUCR_df:pandas.DataFrame'] - module: IUCR - class_name: GetDataFromIUCRbrief_description: Data service that provides data in a dataframe format about community areas in Chicago, including their names, sides, and populations. - detailed_description: Data service that provides data in a dataframe format about community areas in Chicago. Each data entry has the following attributes: community_area_no, community_area_name, side, and population. The attribute 'community_area_no' is unique for each community area. The attribute 'community_area_name' is the name of the community area. The attribute 'side' indicates the geographical side of Chicago where the community area is located. The attribute 'population' represents the population of the community area and is stored as a string with commas separating thousands. - usage_example: - If I want to obtain all the information from the community area with community_area_no 1, I can write:
communityareano = ('1', 'EQUAL')
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'communityarea').
# Please keep the same capitalization as the value in the module field (in this case lowercase)
community_area = GetDataFromcommunityarea()
community_area.open_connection()
community_area_df = community_area.call(communityareano=communityareano)
# assuming the result is a pandas dataframe
print(community_area_df.shape) - input_parameters: ['community_area_no:text', 'community_area_name:integer', 'side:text', 'population:text'] - output_values: ['Community_Area_df:pandas.DataFrame'] - module: CommunityArea - class_name: GetDataFromCommunityAreabrief_description: Data service that provides data in a dataframe format about FBI codes, their titles, descriptions, and the type of crime they are against. - detailed_description: Data service that provides data in a dataframe format about FBI codes, their titles, descriptions, and the type of crime they are against. Each data entry has the following attributes: fbi_code_no, title, description, crime_against. The attribute 'fbi_code_no' is unique for each FBI code entry. The 'title' provides a brief name for the type of crime, while 'description' gives a detailed explanation. The 'crime_against' attribute categorizes the crime as being against persons, property, or society. - usage_example: fbi_code_no = ('01A', 'EQUAL')
title = ('Homicide', 'EQUAL')
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'FBICode').
# Please keep the same capitalization as the value in the module field (in this case 'FBICode')
fbi_code_service = GetDataFromFBICode()
fbi_code_service.open_connection()
fbi_code_df = fbi_code_service.call(fbi_code_no=fbi_code_no, title=title)
# assuming the result is a pandas dataframe
print(fbi_code_df.shape) - input_parameters: ['fbi_code_no:text', 'title:text', 'description:text', 'crime_against:text'] - output_values: ['FBI_Code_df:pandas.DataFrame'] - module: FBICode - class_name: GetDataFromFBICodebrief_description: Data service that provides crime data from Chicago, including details about the crime location, type, and related identifiers. - detailed_description: Data service that provides crime data from Chicago in a dataframe format. Each data entry has the following attributes: report_no, case_number, date, block, iucr_no, location_description, arrest, domestic, beat, district_no, ward_no, community_area_no, fbi_code_no, latitude, longitude. The attribute 'report_no' is unique for each crime report. The attributes 'fbi_code_no', 'community_area_no', 'district_no', 'iucr_no', and 'ward_no' are foreign keys to the FBI_Code, Community_Area, District, IUCR, and Ward tables respectively. The 'date' attribute is stored as text and may need parsing for date operations. The 'arrest' and 'domestic' attributes are stored as text and represent boolean values ('TRUE' or 'FALSE'). - usage_example: - If I want to obtain all the information about crimes that occurred in district number 17, I can write:

district_no = ('17', 'EQUAL')
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'crime').
# Please keep the same capitalization as the value in the module field (in this case lowercase)
crimes = GetDataFromcrime()
crimes.open_connection()
crime_df = crimes.call(district_no=district_no)
# assuming the result is a pandas dataframe
print(crime_df.shape) - input_parameters: ['report_no:integer', 'case_number:integer', 'date:text', 'block:text', 'iucr_no:text', 'location_description:text', 'arrest:text', 'domestic:text', 'beat:text', 'district_no:integer', 'ward_no:integer', 'community_area_no:integer', 'fbi_code_no:integer', 'latitude:text', 'longitude:text'] - output_values: ['Crime_df:pandas.DataFrame'] - module: Crime - class_name: GetDataFromCrimebrief_description: Data service that provides data in a dataframe format about neighborhoods and their associated community areas in Chicago. - detailed_description: Data service that provides data in a dataframe format about neighborhoods and their associated community areas in Chicago. Each data entry has the following attributes: neighborhood_name, community_area_no. The attribute 'neighborhood_name' is unique for each neighborhood. The attribute 'community_area_no' is a foreign key to the Community_Area table, which contains additional information about the community area such as community_area_name, side, and population. - usage_example: - If I want to obtain all the information from the neighborhood named 'Albany Park', I can write:
neighborhood_name = ('Albany Park', 'EQUAL')
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'neighborhood').
neighborhoods = GetDataFromneighborhood()
neighborhoods.open_connection()
neighborhood_df = neighborhoods.call(neighborhood_name=neighborhood_name)
# assuming the result is a pandas dataframe
print(neighborhood_df.shape) - input_parameters: ['neighborhood_name:text', 'community_area_no:text'] - output_values: ['Neighborhood_df:pandas.DataFrame'] - module: Neighborhood - class_name: GetDataFromNeighborhoodbrief_description: Data service that provides data in a dataframe format about Chicago wards and their aldermen. - detailed_description: Data service that provides data in a dataframe format about Chicago wards and their aldermen. Each data entry has the following attributes: ward_no, alderman_first_name, alderman_last_name, alderman_name_suffix, ward_office_address, ward_office_zip, ward_email, ward_office_phone, ward_office_fax, city_hall_office_room, city_hall_office_phone, city_hall_office_fax, Population. The attribute 'ward_no' is unique for each ward. The attributes 'alderman_first_name', 'alderman_last_name', and 'alderman_name_suffix' provide the full name of the alderman. The 'ward_office_address', 'ward_office_zip', 'ward_email', 'ward_office_phone', and 'ward_office_fax' provide contact information for the ward office. The 'city_hall_office_room', 'city_hall_office_phone', and 'city_hall_office_fax' provide contact information for the city hall office. The 'Population' attribute indicates the population of the ward. - usage_example: - If I want to obtain all the information from the ward with ward_no 1 I can write:
wardno = ('1', ""EQUAL"")
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'ward').
# Please keep the same capitalization as the value in the module field (in this case lowercase)
wards = GetDataFromward()
wards.open_connection()
ward_df = wards.call(ward_no=wardno)
# assuming the result is a pandas dataframe
print(ward_df.shape) - input_parameters: ['ward_no:integer', 'alderman_first_name:integer', 'alderman_last_name:text', 'alderman_name_suffix:text', 'ward_office_address:text', 'ward_office_zip:text', 'ward_email:text', 'ward_office_phone:text', 'ward_office_fax:text', 'city_hall_office_room:text', 'city_hall_office_phone:integer', 'city_hall_office_fax:text', 'Population:text'] - output_values: ['Ward_df:pandas.DataFrame'] - module: Ward - class_name: GetDataFromWardbrief_description: Data service that provides data in a dataframe format about police districts in Chicago, including their contact information and commanders. - detailed_description: Data service that provides data in a dataframe format about police districts in Chicago. Each data entry has the following attributes: district_no, district_name, address, zip_code, commander, email, phone, fax, tty, twitter. The attribute 'district_no' is unique for each district. The attribute 'district_name' is an integer representing the district's name. The attributes 'address', 'zip_code', 'email', 'phone', 'fax', 'tty', and 'twitter' are text fields containing the respective contact information for each district. The attribute 'commander' is an integer representing the commander's ID. This table does not have any foreign keys. - usage_example: - If I want to obtain all the information from the district with district_no '1' I can write:
district_no = ('1', 'EQUAL')
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'district').
districts = GetDataFromdistrict()
districts.open_connection()
district_df = districts.call(district_no=district_no)
# assuming the result is a pandas dataframe
print(district_df.shape) - input_parameters: ['district_no:text', 'district_name:integer', 'address:text', 'zip_code:text', 'commander:integer', 'email:text', 'phone:text', 'fax:text', 'tty:text', 'twitter:text'] - output_values: ['District_df:pandas.DataFrame'] - module: District - class_name: GetDataFromDistrict","import pandas as pd
from data_services.Crime import GetDataFromCrime
from data_services.District import GetDataFromDistrict

def pipeline_function():
    # Step 1: Retrieve the district number for 'Central' district
    district_service = GetDataFromDistrict()
    district_service.open_connection()
    district_df = district_service.call(district_name=('Central', 'EQUAL'))
    
    # Check if the district is found
    if district_df.empty:
        return []
    
    # Get the district number for 'Central'
    central_district_no = district_df.iloc[0]['district_no']
    
    # Step 2: Retrieve crimes with no arrest made in the 'Central' district
    crime_service = GetDataFromCrime()
    crime_service.open_connection()
    crime_df = crime_service.call(arrest=('FALSE', 'EQUAL'), district_no=(central_district_no, 'EQUAL'))
    
    # Extract the case numbers
    case_numbers = crime_df['case_number'].tolist()
    
    # Return the result as a list of dictionaries
    return [{'case_number': case_number} for case_number in case_numbers]","+-------+---------------+
|       | case_number   |
|-------+---------------|
|     0 | JB380835      |
|     1 | JB100202      |
|     2 | JB100218      |
|     3 | JB100109      |
|     4 | JB100125      |
|     5 | JB100325      |
|     6 | JB100311      |
|     7 | JB100524      |
|     8 | JB100647      |
|     9 | JB100672      |
|    10 | JB100669      |
|    11 | JB100775      |
|    12 | JB100909      |
|    13 | JB100932      |
|    14 | JB100956      |
|    15 | JB100051      |
|    16 | JB101054      |
|    17 | JB101110      |
|    18 | JB101135      |
|    19 | JB101180      |
|    20 | JB101195      |
|    21 | JB101206      |
|    22 | JB101213      |
|    23 | JB100613      |
|    24 | JB101286      |
|    25 | JB101317      |
|    26 | JB101362      |
|    27 | JB101540      |
|    28 | JB101502      |
|    29 | JB101678      |
|    30 | JB101633      |
|    31 | JB101570      |
|    32 | JB101782      |
|    33 | JB101945      |
|    34 | JB101904      |
|    35 | JB101837      |
|    36 | JB102136      |
|    37 | JB102143      |
|    38 | JB102174      |
|    39 | JB101033      |
|    40 | JB102214      |
|    41 | JB102229      |
|    42 | JB102175      |
|    43 | JB102400      |
|    44 | JB102397      |
|    45 | JB102496      |
|    46 | JB102743      |
|    47 | JB102726      |
|    48 | JB102819      |
|    49 | JB102867      |
|    50 | JB102959      |
|    51 | JB103044      |
|    52 | JB102844      |
|    53 | JB103082      |
|    54 | JB102988      |
|    55 | JB103151      |
|    56 | JB103224      |
|    57 | JB103296      |
|    58 | JB103095      |
|    59 | JB103089      |
|    60 | JB103042      |
|    61 | JB103523      |
|    62 | JB103542      |
|    63 | JB103613      |
|    64 | JB103598      |
|    65 | JB103612      |
|    66 | JB103633      |
|    67 | JB103752      |
|    68 | JB103835      |
|    69 | JB103797      |
|    70 | JB103982      |
|    71 | JB103942      |
|    72 | JB103999      |
|    73 | JB103975      |
|    74 | JB104113      |
|    75 | JB103294      |
|    76 | JB104018      |
|    77 | JB103953      |
|    78 | JB104146      |
|    79 | JB104382      |
|    80 | JB104439      |
|    81 | JB104614      |
|    82 | JB104445      |
|    83 | JB104586      |
|    84 | JB104644      |
|    85 | JB104526      |
|    86 | JB104737      |
|    87 | JB104564      |
|    88 | JB104721      |
|    89 | JB104797      |
|    90 | JB104769      |
|    91 | JB104741      |
|    92 | JB104881      |
|    93 | JB104950      |
|    94 | JB104995      |
|    95 | JB105105      |
|    96 | JB105147      |
|    97 | JB105148      |
|    98 | JB105210      |
|    99 | JB105005      |
|   100 | JB104098      |
|   101 | JB105290      |
|   102 | JB105396      |
|   103 | JB105382      |
|   104 | JB102004      |
|   105 | JB105621      |
|   106 | JB105688      |
|   107 | JB105685      |
|   108 | JB105684      |
|   109 | JB105836      |
|   110 | JB105738      |
|   111 | JB105785      |
|   112 | JB105746      |
|   113 | JB105295      |
|   114 | JB105907      |
|   115 | JB105561      |
|   116 | JB105891      |
|   117 | JB105610      |
|   118 | JB105930      |
|   119 | JB105513      |
|   120 | JB106002      |
|   121 | JB105654      |
|   122 | JB106058      |
|   123 | JB106119      |
|   124 | JB106022      |
|   125 | JB106077      |
|   126 | JB106187      |
|   127 | JB106277      |
|   128 | JB106339      |
|   129 | JB106233      |
|   130 | JB106278      |
|   131 | JB106434      |
|   132 | JB106493      |
|   133 | JB106653      |
|   134 | JB106648      |
|   135 | JB106685      |
|   136 | JB106657      |
|   137 | JB106764      |
|   138 | JB106862      |
|   139 | JB106717      |
|   140 | JB106860      |
|   141 | JB106750      |
|   142 | JB106918      |
|   143 | JB106821      |
|   144 | JB106945      |
|   145 | JB106928      |
|   146 | JB106940      |
|   147 | JB107005      |
|   148 | JB107108      |
|   149 | JB107112      |
|   150 | JB107015      |
|   151 | JB107064      |
|   152 | JB107136      |
|   153 | JB106128      |
|   154 | JB107158      |
|   155 | JB107139      |
|   156 | JB107195      |
|   157 | JB107251      |
|   158 | JB107292      |
|   159 | JB107334      |
|   160 | JB107474      |
|   161 | JB107513      |
|   162 | JB107575      |
|   163 | JB107605      |
|   164 | JB107644      |
|   165 | JB107792      |
|   166 | JB107770      |
|   167 | JB107858      |
|   168 | JB107861      |
|   169 | JB107829      |
|   170 | JB107909      |
|   171 | JB107090      |
|   172 | JB107956      |
|   173 | JB108045      |
|   174 | JB108418      |
|   175 | JB108382      |
|   176 | JB108504      |
|   177 | JB108510      |
|   178 | JB108459      |
|   179 | JB108726      |
|   180 | JB107920      |
|   181 | JB108696      |
|   182 | JB108746      |
|   183 | JB108753      |
|   184 | JB108798      |
|   185 | JB108800      |
|   186 | JB108860      |
|   187 | JB108811      |
|   188 | JB108996      |
|   189 | JB109022      |
|   190 | JB108821      |
|   191 | JB109042      |
|   192 | JB108979      |
|   193 | JB109085      |
|   194 | JB109017      |
|   195 | JB108247      |
|   196 | JB108873      |
|   197 | JB109180      |
|   198 | JB109293      |
|   199 | JB109432      |
|   200 | JB109461      |
|   201 | JB109585      |
|   202 | JB109847      |
|   203 | JB109888      |
|   204 | JB109885      |
|   205 | JB109925      |
|   206 | JB109976      |
|   207 | JB109900      |
|   208 | JB100697      |
|   209 | JB109967      |
|   210 | JB110130      |
|   211 | JB110211      |
|   212 | JB110242      |
|   213 | JB110248      |
|   214 | JB110281      |
|   215 | JB110305      |
|   216 | JB110017      |
|   217 | JB110062      |
|   218 | JB110076      |
|   219 | JB110049      |
|   220 | JB110147      |
|   221 | JB110161      |
|   222 | JB110390      |
|   223 | JB110412      |
|   224 | JB110399      |
|   225 | JB110623      |
|   226 | JB110673      |
|   227 | JB110724      |
|   228 | JB110840      |
|   229 | JB110870      |
|   230 | JB110824      |
|   231 | JB110856      |
|   232 | JB110858      |
|   233 | JB110962      |
|   234 | JB111032      |
|   235 | JB110850      |
|   236 | JB103199      |
|   237 | JB110980      |
|   238 | JB110899      |
|   239 | JB111180      |
|   240 | JB111240      |
|   241 | JB111177      |
|   242 | JB111476      |
|   243 | JB111561      |
|   244 | JB110472      |
|   245 | JB110486      |
|   246 | JB111576      |
|   247 | JB111486      |
|   248 | JB111250      |
|   249 | JB111540      |
|   250 | JB111703      |
|   251 | JB111832      |
|   252 | JB110889      |
|   253 | JB111897      |
|   254 | JB111905      |
|   255 | JB111006      |
|   256 | JB111930      |
|   257 | JB111959      |
|   258 | JB111988      |
|   259 | JB112143      |
|   260 | JB112172      |
|   261 | JB111181      |
|   262 | JB112029      |
|   263 | JB111975      |
|   264 | JB112236      |
|   265 | JB112244      |
|   266 | JB112207      |
|   267 | JB112412      |
|   268 | JB112363      |
|   269 | JB112455      |
|   270 | JB112395      |
|   271 | JB112464      |
|   272 | JB112151      |
|   273 | JB112534      |
|   274 | JB112507      |
|   275 | JB112344      |
|   276 | JB112425      |
|   277 | JB112599      |
|   278 | JB112602      |
|   279 | JB112674      |
|   280 | JB112783      |
|   281 | JB112784      |
|   282 | JB112790      |
|   283 | JB112868      |
|   284 | JB111935      |
|   285 | JB111944      |
|   286 | JB112472      |
|   287 | JB112951      |
|   288 | JB112953      |
|   289 | JB112644      |
|   290 | JB112871      |
|   291 | JB112989      |
|   292 | JB113044      |
|   293 | JB113055      |
|   294 | JB113066      |
|   295 | JB113156      |
|   296 | JB113165      |
|   297 | JB110630      |
|   298 | JB113196      |
|   299 | JB113282      |
|   300 | JB113268      |
|   301 | JB112388      |
|   302 | JB113365      |
|   303 | JB113443      |
|   304 | JB113386      |
|   305 | JB113394      |
|   306 | JB113482      |
|   307 | JB113430      |
|   308 | JB113564      |
|   309 | JB113593      |
|   310 | JB113617      |
|   311 | JB113623      |
|   312 | JB113667      |
|   313 | JB113393      |
|   314 | JB113642      |
|   315 | JB112954      |
|   316 | JB113689      |
|   317 | JB113794      |
|   318 | JB113788      |
|   319 | JB113824      |
|   320 | JB113731      |
|   321 | JB103161      |
|   322 | JB113782      |
|   323 | JB113745      |
|   324 | JB113918      |
|   325 | JB113899      |
|   326 | JB114029      |
|   327 | JB114130      |
|   328 | JB114247      |
|   329 | JB114209      |
|   330 | JB114276      |
|   331 | JB114387      |
|   332 | JB114393      |
